"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","Unnamed off Moore Rd","TRMR18","Unnamed off Halfway Rd","Moore Rd","Offroad","Public",NA,"TRMR17, MORE05, MORE06, TRMR10",2024-03-04 08:36:43.859118,2024-03-05 17:09:56.571388,"EXISTING"
"Iron River Area","Unnamed from Moore Rd to Huffgard Rd","TRMR20","Moore Rd","ATV/Snow Trail 17","Offroad","Public",NA,"MORE03, MORE04, TRMR21",2024-02-23 10:27:57.879883,2024-03-05 17:09:56.664335,"EXISTING"
"Iron River Area","Unnamed from Moore Rd to Huffgard Rd","TRMR21","ATV/Snow Trail 17","Unnamed off Halfway Rd","Offroad","Public",NA,"TRMR20, TRMR22",2024-02-23 10:27:23.324257,2024-03-05 17:09:56.677347,"EXISTING"
"Iron River Area","Unnamed from Moore Rd to Huffgard Rd","TRMR22","Unnamed off Halfway Rd","Unnamed off Moore Rd","Offroad","Public",NA,"TRMR21, TRMR23",2024-02-23 10:27:32.122488,2024-03-05 17:09:56.690319,"EXISTING"
"Iron River Area","Unnamed from Moore Rd to Huffgard Rd","TRMR23","Unnamed off Moore Rd","Huffgard Rd","Offroad","Public",NA,"TRMR22, HGRD15, HGRD16, TRCL05",2024-02-23 10:27:43.61021,2024-03-05 17:09:56.706331,"EXISTING"
"Iron River Area","Unnamed off Musky Lake Rd","TRMXA01","Musky Lake Rd",NA,"Offroad","Public",NA,"MSKY10, MSKY11, TRMXA02, DEAD16",2023-01-16 21:39:55.539515,2024-03-05 17:09:56.718304,"EXISTING"
"Iron River Area","Unnamed off Musky Lake Rd","TRMXA02",NA,"FR413","Trail","Public",NA,"TRMXA01, DEAD16, FR41302, FR41303",2023-01-16 21:39:55.541513,2024-03-05 17:09:56.735296,"EXISTING"
"Iron River Area","Unnamed off FR410A","TRMYA01","FR410A",NA,"Offroad","Public",NA,"FR410A02, FR410A03, TRMYA02, TRMYA03",2023-01-16 21:39:55.543512,2024-03-05 17:09:56.747313,"EXISTING"
"Iron River Area","Unnamed near FR410A","TRMYA02",NA,"end of trail","Offroad","Public",NA,"TRMYA01, TRMYA03, NA",2023-01-16 21:39:55.544512,2024-03-05 17:09:56.761295,"EXISTING"
"Iron River Area","Unnamed near FR410A","TRMYA03",NA,"end of trail","Offroad","Public",NA,"TRMYA01, TRMYA02, NA",2023-01-16 21:39:55.545511,2024-03-05 17:09:56.775274,"EXISTING"
"Iron River Area","Unnamed off FR410A","TRMYA04","FR410A","ATV/Snow Trail 31 (Buckskin)","Trail","Public",NA,"ATV3133, ATV3134, FR410A01, FR410A02",2023-05-08 09:52:25.247532,2024-03-05 17:09:56.902201,"EXISTING"
"Iron River Area","Unnamed off FR395","TRMYB01","FR395","ATV/Snow Trail 31 (Buckskin)","Trail","Public",NA,"FR39507, FR39508, ATV3153, ATV3154, ATV6101",2023-01-16 21:39:55.546511,2024-03-05 17:09:56.926184,"EXISTING"
"Iron River Area","Unnamed off N Church Rd","TRNC01","N Church Rd","Unnamed off N Church Rd","Offroad","Public",NA,"NCHU01, NCHU02, TRNC02, TRNC03",2024-03-04 10:34:38.960148,2024-03-05 17:09:56.945175,"EXISTING"
"Iron River Area","Unnamed off N Church Rd","TRNC02","Unnamed off N Church Rd","Unnamed off Moreland Lake Rd","Offroad","Public",NA,"TRNC01, TRNC03, TRML16, TRML17",2024-03-04 10:34:47.758402,2024-03-05 17:09:56.960167,"EXISTING"
"Iron River Area","Unnamed off N Church Rd","TRNC03","Unnamed off N Church Rd","Unnamed off Moreland Lake Rd","Trail","Public",NA,"TRNC01, TRNC02, TRML15, TRML16",2024-03-04 10:34:58.666679,2024-03-05 17:09:56.974159,"EXISTING"
"Iron River Area","Unnamed near N Delta Rd","TRNDA01","Unnamed off FR230",NA,"Trail","Public",NA,"TR230A02, TR230A03, NA",2024-02-29 08:44:32.228399,2024-03-05 17:09:57.084093,"EXISTING"
"Iron River Area","Unnamed off N Long Lake Loop","TRNL01","N Long Lake Loop","Gas pipeline right-of-way","Trail","Public",NA,"LNGN51, LNGN52, NA",2023-04-24 18:19:57.884731,2024-03-05 17:09:57.097084,"EXISTING"
"Iron River Area","Unnamed off North Point Dr","TRNP01","North Point Dr","Unnamed off Pine Lake Rd","Gravel","Public",NA,"NOPT01, NOPT02, TRNP02, TRPL20",2023-01-16 21:39:55.550508,2024-03-05 17:09:57.110079,"EXISTING"
"Iron River Area","Unnamed off North Point Dr","TRNP02","Unnamed off Pine Lake Rd","Private Property (unmarked)","Offroad","Public",NA,"TRNP01, TRPL20, NA",2023-01-16 21:39:55.552507,2024-03-05 17:09:57.139063,"EXISTING"
"Iron River Area","Unnamed off Orlowski Rd","TRORA01","Orlowski Rd","Redwine Rd","Trail","Public",NA,"ORLW01, ORLW02, REDW02, REDW03",2023-01-16 21:39:55.553507,2024-03-05 17:09:57.151056,"EXISTING"
"Iron River Area","Unnamed parallel to Cty Rd A","TRPA01","FR411B",NA,"Offroad","Public",NA,"FR411B01, FR411B02, TRPA02, TRAX01",2023-01-16 21:39:55.554506,2024-03-05 17:09:57.163069,"EXISTING"
"Iron River Area","Unnamed parallel to Cty Rd A","TRPA02",NA,NA,"Offroad","Public",NA,"TRPA01, TRAX01, TRPA03, TRAX02",2023-01-16 21:39:55.556505,2024-03-05 17:09:57.176062,"EXISTING"
"Iron River Area","Unnamed parallel to Cty Rd A","TRPA03",NA,NA,"Offroad","Public",NA,"TRPA02, TRAX02, TRPA04, TRAX03, TRAX04",2023-01-16 21:39:55.557505,2024-03-05 17:09:57.187033,"EXISTING"
"Iron River Area","Unnamed parallel to Cty Rd A","TRPA04",NA,NA,"Offroad","Public",NA,"TRPA03, TRAX03, TRAX04, TRPA05, FR411B01, FR411B02",2023-01-16 21:39:55.559502,2024-03-05 17:09:57.290974,"EXISTING"
"Iron River Area","Unnamed parallel to Cty Rd A","TRPA05",NA,NA,"Offroad","Public",NA,"TRPA04, FR411B01, FR411B02, TRPA06, TRAX07",2023-01-16 21:39:55.560503,2024-03-05 17:09:57.305967,"EXISTING"
"Iron River Area","Unnamed parallel to Cty Rd A","TRPA06",NA,NA,"Offroad","Public",NA,"TRPA05, TRAX07, TRAX08, TRAX09",2023-01-16 21:39:55.561502,2024-03-05 17:09:57.31996,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL01","Pine Lake Rd",NA,"Offroad","Public",NA,"PINE02, PINE03, TRPL02, TRPL03",2023-01-16 21:39:55.5625,2024-03-05 17:09:57.33395,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL02",NA,NA,"Offroad","Public",NA,"TRPL01, TRPL03, TRPL09, TRPL10",2024-02-29 08:55:19.226736,2024-03-05 17:09:57.355938,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL03",NA,NA,"Offroad","Public",NA,"TRPL01, TRPL02, TRPL06, TRPL07",2023-01-16 21:39:55.564501,2024-03-05 17:09:57.36993,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL04","Pine Lake Rd",NA,"Offroad","Public",NA,"PINE03, PINE04, TRPL05, TRPL06, DEAD077",2023-01-16 21:39:55.5655,2024-03-05 17:09:57.380922,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL05",NA,NA,"Offroad","Public",NA,"TRPL04, TRPL06, DEAD077, TRPL08, TRPL09",2023-01-16 21:39:55.5665,2024-03-05 17:09:57.394915,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL06",NA,NA,"Trail","Public",NA,"TRPL04, TRPL05, DEAD077, TRPL03, TRPL07",2023-01-16 21:39:55.567499,2024-03-05 17:09:57.525841,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL07",NA,NA,"Offroad","Public",NA,"TRPL03, TRPL06, TRPL08, DEAD078",2023-01-16 21:39:55.569498,2024-03-05 17:09:57.544828,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL08",NA,NA,"Offroad","Public",NA,"TRPL07, DEAD078, TRPL05, TRPL09",2023-01-16 21:39:55.570496,2024-03-05 17:09:57.556822,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL09",NA,NA,"Offroad","Public",NA,"TRPL05, TRPL08, TRPL02, TRPL10",2023-01-16 21:39:55.571495,2024-03-05 17:09:57.568815,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL10",NA,NA,"Offroad","Public",NA,"TRPL09, TRPL02, TRPL11, DEAD081",2024-02-29 08:55:35.962858,2024-03-05 17:09:57.582806,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL11",NA,"Wildwood Campground loop","Trail","Public",NA,"TRPL10, DEAD081, WLDC02, WLDC03",2024-02-29 08:55:47.423334,2024-03-05 17:09:57.595798,"EXISTING"
"Iron River Area","Unnamed off Pine Lake Rd","TRPL20","Pine Lake Rd","Unnamed off North Point Dr","Trail","Public",NA,"PINE04, PINE05, TRNP01, TRNP02",2023-01-16 21:39:55.579493,2024-03-05 17:09:57.711748,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO01","Pero Rd","North Country Trail","Offroad","Public",NA,"PERO09, PERO10, TRPO02, NCTBF009, NCTBF010",2023-12-25 16:29:32.828259,2024-03-05 17:09:57.727743,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO02","North Country Trail","Near unnamed lake","Offroad","Public",NA,"TRPO01, NCTBF009, NCTBF010, NA",2023-12-25 16:31:28.982758,2024-03-05 17:09:57.738735,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO03","Pero Rd","Near Morris Pond","Offroad","Public","Would be good campsite","PERO10, PERO11, NA",2023-12-25 16:30:14.84169,2024-03-05 17:09:57.753727,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO11","Pero Rd","Unnamed off Pero Rd","Offroad","Public",NA,"PERO06, PERO07, TRPO12, TRPO22",2024-02-27 08:23:49.35202,2024-03-05 17:09:57.768713,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO12","Unnamed off Pero Rd","Short loop off Unnamed near Pero Rd","Offroad","Public",NA,"TRPO11, TRPO22, TRPO13, TRPO13a",2024-02-27 08:23:59.924282,2024-03-05 17:09:57.779694,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO13","Short loop off Unnamed near Pero Rd","Short loop off Unnamed near Pero Rd","Offroad","Public",NA,"TRPO12, TRPO13a, TRPO14, TRPO13a",2024-02-27 08:24:10.446178,2024-03-05 17:09:57.790686,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO13a","Unnamed off Pero Rd","Unnamed off Pero Rd","Offroad","Offroad",NA,"TRPO12, TRPO13, TRPO13, TRPO14",2024-02-27 08:24:21.158798,2024-03-05 17:09:57.80168,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO14","Short loop off Unnamed near Pero Rd","Unnamed from Lindgren Rd to Pero Rd","Offroad","Public",NA,"TRPO13, TRPO13a, TRPO15, TRLN08",2024-02-27 08:24:32.324018,2024-03-05 17:09:57.936602,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO15","Unnamed from Lindgren Rd to Pero Rd","Deadend","Offroad","Public",NA,"TRPO14, TRLN08, DEAD242, DEAD243",2024-02-27 08:24:43.23877,2024-03-05 17:09:57.969582,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO20","Pero Rd","Erick Lake","Offroad","Public","Could trailer boat nearly to lake","PERO7, PERO08, NA",2023-12-29 16:35:16.364687,2024-03-05 17:09:57.986572,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO22","Pero Rd","Unnamed off Pero Rd","Trail","Public",NA,"PERO05, PERO06, TRPO11, TRPO12",2023-12-29 16:35:38.513266,2024-03-05 17:09:58.025551,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO25","Pero Rd","ATV/Snow Trail 24","Offroad","Public",NA,"PERO04, PERO05, ATV2456, ATV2457",2024-02-27 16:41:36.41489,2024-03-05 17:09:58.175465,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO31","Pero Rd","Unnamed off Pero Rd","Offroad","Public",NA,"PERO03, PERO04, TRPO32, TRPO34",2023-12-29 16:36:29.95225,2024-03-05 17:09:58.189457,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO32","Unnamed off Pero Rd","ATV/Snow Trail 24","Offroad","Public",NA,"TRPO31, TRPO34, ATV2453, ATV2454",2023-12-29 16:38:17.268261,2024-03-05 17:09:58.200468,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO33","Pero Rd","Unnamed off Pero Rd","Offroad","Public",NA,"PERO02, PERO03, TRPO34, TRPO35",2024-02-27 08:10:02.315742,2024-03-05 17:09:58.214441,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO34","Unnamed off Pero Rd","Unnamed off Pero Rd","Offroad","Public",NA,"TRPO31, TRPO32, TRPO33, TRPO35",2024-02-27 08:10:12.736364,2024-03-05 17:09:58.314384,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO35","Unnamed off Pero Rd","ATV/Snow Trail 24","Offroad","Public",NA,"TRPO33, TRPO34, TRPO36, ATV2452, ATV2453",2024-02-27 08:10:24.301048,2024-03-05 17:09:58.346367,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO36","ATV/Snow Trail 24","Unnamed off Pero Rd","Offroad","Public",NA,"TRPO35, ATV2452, ATV2453, TRPO37, TRPO39",2024-02-27 17:02:57.20649,2024-03-05 17:09:58.363358,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO37","Unnamed off Pero Rd","Unnamed off Pero Rd","Offroad","Public",NA,"TRPO36, TRPO39, TRPO38, TRPO40",2024-02-27 17:03:08.820963,2024-03-05 17:09:58.375349,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO38","Unnamed off Pero Rd","ATV/Snow Trail 24","Offroad","Public",NA,"TRPO37, TRPO40, ATV2457",2024-02-27 17:03:27.770052,2024-03-05 17:09:58.395338,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO39","Unnamed off Pero Rd","ATV/Snow Trail 24","Offroad","Public",NA,"TRPO36, TRPO37, ATV2454, ATV2455",2024-02-27 17:03:50.093761,2024-03-05 17:09:58.410328,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO40","Unnamed off Pero Rd","ATV/Snow Trail 24","Offroad","Public",NA,"TRPO37, TRPO38, ATV2455, ATV2456",2024-02-27 17:04:00.452847,2024-03-05 17:09:58.426319,"EXISTING"
"Iron River Area","Unnamed off Pero Rd","TRPO51","Pero Rd","Unnamed from Lindgren Rd to Pero and Troy Pit Rd","Offroad","Public",NA,"PERO01, PERO02, TRLN01, TRLN02",2024-02-27 08:05:56.491697,2024-03-05 17:09:58.54825,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG01","S Shore Grade Rd","Unnamed off S Shore Grade Rd","Trail","Public",NA,"SHRG01, SHRG02, TRSG02, TRSG05",2024-03-04 17:23:21.757025,2024-03-05 17:09:58.561256,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG02","Unnamed off S Shore Grade Rd","Unnamed off S Shore Grade Rd","Trail","Public",NA,"TRSG01, TRSG05, TRSG03, TRSG04",2024-03-04 17:23:21.436209,2024-03-05 17:09:58.575249,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG03","Unnamed off S Shore Grade Rd","North Country Trail","Trail","Public",NA,"TRSG02, TRSG04, NCTBF002b, NCTBF002c",2024-03-04 17:23:21.407228,2024-03-05 17:09:58.592224,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG04","Unnamed off S Shore Grade Rd","North Country Trail","Trail","Public",NA,"TRSG02, TRSG03, NCTBF002a, NCTBF002b",2024-03-04 17:23:20.163095,2024-03-05 17:09:58.605215,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG05","Unnamed off S Shore Grade Rd","North Country Trail","Trail","Public",NA,"TRSG01, TRSG02, TRSG06, NCTBF002, NCTBF002a",2024-03-04 17:23:20.13398,2024-03-05 17:09:58.620209,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG06","North Country Trail","North Country Trail","Trail","Public",NA,"TRSG05, NCTBF002, NCTBF002a, TRSG07, NCTBF001, NCTBF002",2024-03-04 17:23:18.788752,2024-03-05 17:09:58.731165,"EXISTING"
"Iron River Area","Unnamed off S Shore Grade Rd","TRSG07","S Shore Grade Rd","North Country Trail","Offroad","Public",NA,"SHRG02, SHRG03, TRSG06, NCTBF001, NCTBF002",2024-03-04 17:23:17.975206,2024-03-05 17:09:58.745155,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP01","Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"SPRL01, SPRL02, TRSP02, TRSP09",2023-11-09 08:21:26.268421,2024-03-05 17:09:58.76013,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP02","Unnamed off Spring Lake Rd","pipeline trail","Offroad","Public",NA,"TRSP01, TRSP09, TRSP03",2023-11-09 08:21:43.938087,2024-03-05 17:09:58.772137,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP03","pipeline trail","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP02, TRSP07, TRSP13",2023-08-06 16:50:09.628748,2024-03-05 17:09:58.786131,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP04","Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"SPRL02, SPRL03, TRSP05, TRSP08",2023-08-06 16:51:13.322285,2024-03-05 17:09:58.797106,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP05","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP04, TRSP08, TRSP06, TRSP09",2023-08-06 16:51:06.345148,2024-03-05 17:09:58.808115,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP06","Unnamed off Spring Lake Rd","pipeline trail","Offroad","Public",NA,"TRSP05, TRSP09, TRSP07",2023-08-06 16:50:59.485706,2024-03-05 17:09:58.820112,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP07","pipeline trail","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP06, TRSP03, TRSP13",2023-08-06 16:50:53.249674,2024-03-05 17:09:58.834085,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP08","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP04, TRSP05, TRSP10, TRSP11",2023-08-06 16:50:18.428831,2024-03-05 17:09:58.966022,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP09","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Trail","Public",NA,"TRSP05, TRSP06, TRSP01, TRSP02",2023-11-09 08:21:36.256872,2024-03-05 17:09:58.981001,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP10","Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"SPRL05, SPRL06, TRSP08, TRSP11",2023-08-06 16:50:01.097765,2024-03-05 17:09:58.992994,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP11","Unnamed off Spring Lake Rd","pipeline trail","Offroad","Public",NA,"TRSP08, TRSP10, TRSP12",2023-08-06 16:50:28.256559,2024-03-05 17:09:59.003986,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP12","pipeline trail","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP11, TRSP13",2023-08-06 16:50:36.366001,2024-03-05 17:09:59.017979,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP13","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Trail","Public",NA,"TRSP12, TRSP03, TRSP07",2023-08-06 16:50:44.837036,2024-03-05 17:09:59.03397,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP20","Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"SPRL03, SPRL04, TRSP21, TRSP25, TRSP26",2023-08-19 16:15:42.942862,2024-03-05 17:09:59.137909,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP21","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP20, TRSP25, TRSP26, TRSP22, TRSP24",2023-08-19 16:16:12.061897,2024-03-05 17:09:59.149902,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP22","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP21, TRSP24, TRSP23, TRSP28",2023-08-19 16:16:24.81595,2024-03-05 17:09:59.163895,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP23","Unnamed off Spring Lake Rd","Airport Rd","Offroad","Public",NA,"TRSP22, TRSP28, NA",2023-08-19 16:16:05.488993,2024-03-05 17:09:59.182884,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP24","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP21, TRSP22, TRSP26, TRSP27",2023-08-19 16:15:49.932108,2024-03-05 17:09:59.193878,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP25","Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"SPRL04, SPRL05, TRSP20, TRSP21, TRSP26",2023-08-19 16:15:58.147339,2024-03-05 17:09:59.206884,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP26","Unnamed off Spring Lake Rd","Unnamed off Spring Lake Rd","Offroad","Public",NA,"TRSP20, TRSP21, TRSP25, TRSP24, TRSP27",2023-08-19 16:16:18.920471,2024-03-05 17:09:59.217878,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP27","Unnamed off Spring Lake Rd","Private Property (Golf Course)","Offroad","Public",NA,"TRSP24, TRSP26, NA",2023-08-19 16:16:30.854551,2024-03-05 17:09:59.230871,"EXISTING"
"Iron River Area","Unnamed off Spring Lake Rd","TRSP28","Spring Lake Rd","Unnamed off Spring Lake Rd","Trail","Public",NA,"SPRL06, SPRL07, TRSP22, TRSP23",2023-08-19 16:15:31.167711,2024-03-05 17:09:59.24485,"EXISTING"
"Iron River Area","Unnamed off Silbersack Rd","TRSS01","Silbersack/Lavin Rd","Tripp Gravel Pit Rd","Trail","Public",NA,"SLBR13, SLBR14, TRGP01, TRGP02",2024-02-29 11:18:25.152071,2024-03-05 17:09:59.376772,"EXISTING"
"Iron River Area","Unnamed off Silbersack Rd","TRSS11","Silbersack / Lavin Rd","Silbersack / Lavin Rd","Trail","Public",NA,"SLBR01, SLBR02, HOPR01, SLBR02, SLBR03",2023-10-30 21:15:04.388769,2024-03-05 17:09:59.396761,"EXISTING"
"Iron River Area","Unnamed off Silbersack Rd","TRSS13","Silbersack / Lavin Rd","Battle Axe Rd","Trail","Public",NA,"SLBR03, SLBR04, BTLX04, BTLX05",2024-03-03 16:11:09.8183,2024-03-05 17:09:59.411753,"EXISTING"
"Iron River Area","Unnamed off Ruth Lake Rd","TRTHA01","Ruth Lake Rd","ATV/Snow Trail 31 (Buckskin)","Offroad","Public",NA,"RUTH04, RUTH05, ATV3121, ATV3120",2023-01-16 21:39:55.580492,2024-03-05 17:09:59.422747,"EXISTING"
"Iron River Area","Unnamed near Ruth Lake Rd","TRTHA02","ATV/Snow Trail 31 (Buckskin)","ATV/Snow Trail 31 (Buckskin)","Trail","Public",NA,"ATV3120, ATV3119, ATV3121",2024-02-26 17:51:35.583342,2024-03-05 17:09:59.439735,"EXISTING"
"Iron River Area","Unnamed near Ruth Lake Rd","TRTHB01","Ruth Lake Rd","ATV/Snow Trail 31 (Buckskin)","Trail","Public",NA,"RUTH06, RUTH07, ATV3118",2023-01-16 21:39:55.584499,2024-03-05 17:09:59.472719,"EXISTING"
"Iron River Area","Unnamed near Ruth Lake Rd","TRTHB02","ATV/Snow Trail 31 (Buckskin)",NA,"Trail","Public",NA,"ATV3118, ATV3117, TRTHB03, TRTHB04",2023-01-16 21:39:55.585497,2024-03-05 17:09:59.578655,"EXISTING"
"Iron River Area","Unnamed near Ruth Lake Rd","TRTHB03",NA,"Ruth Lake Rd","Trail","Public",NA,"TRTHB02, TRTHB04, RUTH09, RUTH10",2023-01-16 21:39:55.586489,2024-03-05 17:09:59.590649,"EXISTING"
"Iron River Area","Unnamed near Ruth Lake Rd","TRTHB04","ATV/Snow Trail 31 (Buckskin)",NA,"Trail","Public",NA,"ATV3117, TRTHB02, TRTHB03",2023-01-16 21:39:55.587486,2024-03-05 17:09:59.603642,"EXISTING"
"Iron River Area","Trout Lake Rd","TRTL01","Musky Lake Rd","Private driveway","Gravel","Public",NA,"MSKY01, MSKY02, NA",2023-01-16 21:39:55.588495,2024-03-05 17:09:59.616634,"EXISTING"
"Iron River Area","Unnamed off Troy Pit Rd","TRTP01","Troy Pit Rd","Troy Pit Rd","Offroad","Public",NA,"TRYP01, TRYP02, TRYP02, TRYP03",2024-03-04 16:25:42.396088,2024-03-05 17:09:59.631626,"EXISTING"
"Iron River Area","Unnamed near Troy Pit Rd","TRTP11","Unnamed from Lindgren Rd to Pero and Troy Pit Rd","Unnamed near Troy Pit Rd","Trail","Public",NA,"TRLN06, TRLN07, TRTP12, TRTP14",2024-01-01 15:06:16.513855,2024-03-05 17:09:59.644617,"EXISTING"
"Iron River Area","Unnamed near Troy Pit Rd","TRTP12","Unnamed near Troy Pit Rd","Unnamed near Troy Pit Rd","Trail","Public",NA,"TRTP11, TRTP14, TRTP13",2024-01-01 15:06:27.342833,2024-03-05 17:09:59.65661,"EXISTING"
"Iron River Area","Unnamed near Troy Pit Rd","TRTP13","Unnamed near Troy Pit Rd","Unnamed near Troy Pit Rd","Offroad","Public",NA,"TRTP12, TRBB43, TRBB44",2024-01-01 15:06:37.745447,2024-03-05 17:09:59.757551,"EXISTING"
"Iron River Area","Unnamed near Troy Pit Rd","TRTP14","Unnamed near Troy Pit Rd","Unnamed lake","Trail","Public",NA,"TRTP11, TRTP12, NA",2024-01-01 15:06:47.385319,2024-03-05 17:09:59.771544,"EXISTING"
"Iron River Area","Unnamed off Troy Pit Rd","TRTP21","Troy Pit Rd","North Country Trail","Trail","Public",NA,"TRYP04, TRYP05, TRTP22",2024-01-01 15:03:55.955273,2024-03-05 17:09:59.785536,"EXISTING"
"Iron River Area","Unnamed off Troy Pit Rd","TRTP22","North Country Trail","Unnamed off Wills Rd","Trail","Public",NA,"TRTP21, TRWL01",2024-01-01 15:04:05.192303,2024-03-05 17:09:59.798529,"EXISTING"
"Iron River Area","Travers Lake trail","TRVL01","Nancy Lake trail","Travers Lake","Trail","Public",NA,"NCYL01, NCYL02, NA",2023-01-16 21:39:55.590487,2024-03-05 17:09:59.808542,"EXISTING"
"Iron River Area","Unnamed from Webster Rd to Hughes Town Line Rd","TRWB20","Webster Rd","Unnamed from Cty Rd A to Church Rd","Offroad","Public",NA,"WBSR03, WBSR04, TRWB21, TCAB04, TCAB05",2023-07-01 18:46:21.284103,2024-03-05 17:09:59.825514,"EXISTING"
"Iron River Area","Unnamed from Webster Rd to Hughes Town Line Rd","TRWB21","Unnamed from Cty Rd A to Church Rd","Hughes Town Line Rd","Offroad","Public",NA,"TRWB20, TCAB04, TCAB05, HUTL03, HUTL04",2024-03-04 10:14:14.227383,2024-03-05 17:09:59.856497,"EXISTING"
